Year,College,Major Field,Bachelors,Total Employment,Proportions
2022.0,wsu,Agriculture,3.0,520.0,0.20792514694709907
2022.0,wsu,Architecture,1.0,0.0,0.0
2022.0,wsu,Arts,1.0,3360.0,1.343516334119717
2022.0,wsu,Biological sciences,9.0,0.0,0.0
2022.0,wsu,Business,21.0,80630.0,32.240393458354994
2022.0,wsu,Communication and media,8.0,0.0,0.0
2022.0,wsu,Computer science,3.0,5990.0,2.3951377504098526
2022.0,wsu,Construction and trades,0.0,41590.0,16.63001319524971
2022.0,wsu,Education,3.0,14270.0,5.705945859490583
2022.0,wsu,Engineering,11.0,25230.0,10.088368187452517
2022.0,wsu,Health sciences,7.0,34700.0,13.875004998200648
2022.0,wsu,Hospitality and recreation,2.0,4890.0,1.9552960934063737
2022.0,wsu,Humanities,4.0,0.0,0.0
2022.0,wsu,Law,0.0,1640.0,0.6557639249870048
2022.0,wsu,Mathematics,1.0,0.0,0.0
2022.0,wsu,Physical sciences,2.0,2130.0,0.8516933903794633
2022.0,wsu,Public administration,0.0,6140.0,2.455116158183054
2022.0,wsu,Public safety,0.0,6680.0,2.67103842616658
2022.0,wsu,Social sciences,24.0,22320.0,8.924787076652404
