PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,,5631300,0.4,20.89,43440,0.7,7.94,9.91,15.84,26.11,40.27,16510,20610,32950,54300,83760,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-0000,Management occupations,major,295310,0.9,49.78,103530,0.5,20.52,30.75,44.81,63.74,#,42690,63970,93210,132580,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1011,Chief executives,,12290,2.1,86.45,179810,0.8,51.44,#,#,#,#,106990,#,#,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1021,General and operations managers,,87810,1.4,55.78,116010,0.6,25.05,34.38,50.05,#,#,52110,71510,104110,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1031,Legislators,,**,**,*,51600,6.6,*,*,*,*,*,25920,33410,45720,60180,105170,True,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2011,Advertising and promotions managers,,2350,5.9,44.85,93280,2.3,21.70,30.25,38.89,55.24,#,45140,62910,80890,114900,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2021,Marketing managers,,11140,3.5,56.43,117380,1.3,29.14,37.80,50.89,#,#,60610,78630,105850,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2022,Sales managers,,20400,2.3,55.62,115700,1.3,23.71,33.94,50.76,#,#,49320,70590,105580,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2031,Public relations managers,,1700,8.6,50.75,105550,3.9,25.65,33.26,46.45,63.23,#,53360,69190,96620,131520,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3011,Administrative services managers,,10250,2.4,40.94,85150,1.1,21.98,29.37,37.84,49.12,65.41,45710,61100,78720,102170,136050,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3021,Computer and information systems managers,,12000,3.2,56.10,116690,1.3,32.28,41.32,53.18,67.67,#,67140,85950,110610,140750,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3031,Financial managers,,24930,3.1,53.22,110700,0.9,28.85,36.61,47.62,65.27,#,60000,76150,99040,135770,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3041,Compensation and benefits managers,,2020,4.6,40.31,83840,1.6,23.60,28.14,37.23,48.89,63.12,49090,58530,77440,101690,131290,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3042,Training and development managers,,940,10.2,47.90,99620,2.1,29.76,36.69,44.83,56.72,#,61900,76310,93250,117980,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3049,"Human resources managers, all other",,3000,5.5,52.48,109160,2.0,30.07,38.92,49.46,63.32,#,62540,80950,102870,131700,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3051,Industrial production managers,,7900,3.0,40.64,84540,1.0,23.33,29.30,37.61,48.87,62.54,48520,60940,78230,101650,130090,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3061,Purchasing managers,,3760,4.9,42.92,89280,1.5,23.24,31.08,40.22,52.69,64.94,48340,64650,83650,109600,135070,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3071,"Transportation, storage, and distribution managers",,4250,3.8,37.87,78760,1.2,22.82,28.59,35.79,44.26,55.94,47470,59460,74440,92070,116360,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9021,Construction managers,,7190,6.2,44.43,92410,1.7,27.73,33.33,41.67,52.98,65.21,57690,69320,86680,110200,135640,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9031,"Education administrators, preschool and child care center/program",,1730,10.2,23.31,48490,4.6,14.04,17.15,20.42,25.66,36.94,29200,35670,42460,53370,76830,,
