PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,,5682670,0.4,21.88,45500,0.8,8.27,10.38,16.53,27.29,42.14,17210,21580,34380,56770,87640,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-0000,Management occupations,major,324330,3.3,52.05,108270,1.1,21.26,31.87,46.75,66.52,#,44220,66290,97240,138370,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1011,Chief executives,,14230,11.3,93.29,194050,3.6,57.28,#,#,#,#,119140,#,#,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1021,General and operations managers,,93990,2.7,57.90,120430,0.7,25.25,35.16,51.09,#,#,52510,73130,106280,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1031,Legislators,,570,42.0,*,53680,5.7,*,*,*,*,*,27120,35560,48330,61820,108570,True,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2011,Advertising and promotions managers,,2200,10.0,46.83,97400,2.2,25.72,33.35,40.01,54.27,#,53490,69370,83220,112890,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2021,Marketing managers,,12310,4.5,59.67,124110,2.3,29.94,39.12,54.38,#,#,62280,81370,113110,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2022,Sales managers,,22070,2.5,55.49,115420,1.2,22.93,32.75,49.78,#,#,47690,68130,103540,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2031,Public relations managers,,2010,9.7,49.67,103320,2.8,24.89,31.01,45.20,62.11,#,51760,64510,94030,129200,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3011,Administrative services managers,,11680,2.5,42.62,88650,2.2,21.87,30.25,39.34,52.74,68.44,45480,62920,81820,109690,142350,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3021,Computer and information systems managers,,13760,8.7,58.09,120830,1.1,34.36,43.90,55.71,#,#,71470,91310,115880,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3031,Financial managers,,26440,2.4,55.59,115620,1.0,30.09,38.50,50.08,66.81,#,62580,80070,104160,138970,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3041,Compensation and benefits managers,,1710,4.6,43.70,90900,1.7,24.93,31.08,41.08,50.95,68.96,51850,64660,85450,105970,143440,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3042,Training and development managers,,950,9.4,47.56,98920,2.7,26.05,36.50,45.12,57.04,#,54190,75920,93850,118640,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3049,"Human resources managers, all other",,2960,5.0,52.16,108490,1.5,30.10,39.31,50.20,62.27,#,62600,81770,104420,129520,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3051,Industrial production managers,,8000,2.7,42.99,89430,1.1,24.94,30.76,39.73,51.28,65.04,51870,63980,82650,106660,135280,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3061,Purchasing managers,,3310,3.1,45.48,94590,1.1,26.33,34.04,43.21,55.42,65.55,54760,70810,89870,115280,136350,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3071,"Transportation, storage, and distribution managers",,4690,4.0,38.42,79920,1.4,22.28,29.50,36.64,45.18,57.20,46340,61350,76220,93980,118980,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9021,Construction managers,,7590,5.0,49.56,103090,1.6,30.53,37.08,46.91,58.91,#,63510,77120,97570,122540,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9031,"Education administrators, preschool and child care center/program",,2140,6.9,23.48,48850,4.1,14.33,16.97,20.51,26.66,38.06,29810,35290,42670,55450,79160,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9032,"Education administrators, elementary and secondary school",,6240,1.8,*,101480,1.9,*,*,*,*,*,72100,88650,102970,116770,129560,True,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9033,"Education administrators, postsecondary",,4230,8.9,37.25,77480,3.0,19.03,23.90,31.12,47.03,62.61,39580,49720,64730,97820,130220,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9039,"Education administrators, all other",,1390,11.4,39.74,82660,5.8,18.51,25.44,38.31,53.70,62.49,38500,52910,79680,111690,129980,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9041,Engineering managers,,13190,3.7,60.04,124880,1.7,36.87,46.32,57.60,#,#,76690,96340,119810,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9051,Food service managers,,11540,2.3,22.98,47790,1.2,15.84,18.43,21.72,25.82,30.84,32950,38340,45180,53700,64140,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9061,Funeral directors,,340,20.1,34.94,72680,17.2,14.95,19.66,25.03,37.11,#,31090,40890,52070,77180,#,,
