PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,,5686130,0.5,22.90,47640,0.8,8.68,10.77,17.12,28.67,44.34,18050,22390,35610,59630,92230,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-0000,Management occupations,major,323130,3.1,54.93,114260,1.2,22.90,33.35,49.15,69.95,#,47640,69370,102220,145500,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1011,Chief executives,,14240,10.7,97.95,203730,5.2,58.33,#,#,#,#,121320,#,#,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1021,General and operations managers,,95600,2.4,60.37,125570,0.8,26.57,36.02,52.46,#,#,55260,74930,109120,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1031,Legislators,,560,6.0,*,55760,4.4,*,*,*,*,*,28670,36170,50060,64190,112920,True,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2011,Advertising and promotions managers,,2180,10.4,47.44,98670,2.2,26.21,33.83,40.42,54.74,79.65,54520,70370,84060,113870,165660,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2021,Marketing managers,,11670,4.8,64.00,133120,2.7,32.23,42.78,58.78,79.99,#,67030,88980,122260,166370,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2022,Sales managers,,23090,2.6,57.16,118900,1.4,24.05,33.48,51.08,74.85,#,50030,69640,106240,155680,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2031,Public relations managers,,2210,8.8,55.00,114400,4.2,27.24,34.89,50.19,64.65,#,56670,72570,104390,134470,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3011,Administrative services managers,,11650,3.1,44.29,92130,2.4,22.91,31.05,40.67,54.28,71.20,47660,64580,84600,112900,148090,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3021,Computer and information systems managers,,13780,8.2,60.85,126570,1.3,35.93,46.15,58.25,72.82,#,74730,96000,121150,151460,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3031,Financial managers,,25690,2.4,59.24,123220,1.1,31.07,41.01,53.40,72.03,#,64630,85310,111070,149820,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3041,Compensation and benefits managers,,1470,4.8,45.84,95350,1.8,25.52,32.87,42.95,52.97,72.31,53070,68380,89330,110170,150400,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3042,Training and development managers,,980,9.3,45.74,95150,2.0,23.91,34.22,45.20,54.33,67.25,49740,71170,94010,113010,139880,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3049,"Human resources managers, all other",,2990,4.3,55.11,114640,1.4,31.24,40.88,52.27,65.45,#,64980,85020,108730,136130,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3051,Industrial production managers,,7750,2.5,44.52,92600,1.4,25.33,31.62,40.68,52.47,66.69,52680,65770,84610,109140,138710,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3061,Purchasing managers,,3460,3.1,48.15,100140,1.8,28.36,35.60,44.81,58.00,71.00,58980,74040,93210,120630,147670,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3071,"Transportation, storage, and distribution managers",,4600,4.0,40.28,83780,1.5,23.46,31.25,38.52,47.66,59.46,48790,65000,80120,99140,123670,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9011,"Farm, ranch, and other agricultural managers",,**,**,52.22,108610,18.3,19.20,31.02,67.39,75.98,#,39940,64510,140180,158050,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9021,Construction managers,,8110,5.4,51.27,106640,2.4,29.55,37.35,48.16,61.38,77.57,61460,77680,100170,127670,161350,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9031,"Education administrators, preschool and child care center/program",,2210,4.6,23.77,49440,4.8,13.35,15.71,20.30,28.08,40.98,27770,32690,42230,58400,85250,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9032,"Education administrators, elementary and secondary school",,6540,2.8,*,108020,1.9,*,*,*,*,*,74560,94500,110970,125030,135630,True,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9033,"Education administrators, postsecondary",,2780,12.6,44.30,92140,2.3,22.44,27.21,39.30,56.94,73.35,46680,56590,81750,118440,152570,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-9039,"Education administrators, all other",,1490,9.4,42.44,88280,3.5,22.19,28.03,40.30,55.52,65.07,46160,58310,83820,115480,135340,,
