PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,total,5427320,0.5,1000,1,25.3,52610,0.7,9.04,11.42,18.31,32.05,49.69,18810,23760,38090,66660,103350,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-0000,Management Occupations,major,309420,1,57.011,1.16,59.95,124700,0.5,24.89,35.43,52.65,75.09,#,51760,73690,109520,156180,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1011,Chief Executives,detailed,10920,3.3,2.012,1.07,99.86,207710,1.3,47.94,72.53,#,#,#,99720,150860,#,#,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1021,General and Operations Managers,detailed,97290,1.5,17.927,1.2,61.93,128810,0.8,25.05,34.11,51.9,80.89,#,52100,70960,107950,168250,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-1031,Legislators,detailed,550,12.7,0.102,0.24,*,59280,4.7,*,*,*,*,*,34790,42290,56640,77300,89130,True,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2011,Advertising and Promotions Managers,detailed,1940,15,0.358,1.66,66.86,139070,3.6,30.93,42.34,62.05,80.09,#,64320,88080,129060,166600,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2021,Marketing Managers,detailed,10920,4.2,2.013,1.53,67.08,139520,1.4,33.02,46.63,62.85,81.46,#,68680,96990,130730,169430,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2022,Sales Managers,detailed,23370,3.5,4.305,1.62,62.04,129050,1.7,25.15,35,55.97,80.79,#,52310,72800,116410,168030,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-2031,Public Relations and Fundraising Managers,detailed,2390,7.3,0.44,1.09,57.18,118940,4.2,30.51,37.16,46.67,69.46,#,63460,77290,97060,144470,#,,
CA,31100,"Los Angeles-Long Beach-Santa Ana, CA",11-3011,Administrative Services Managers,detailed,14260,2.9,2.627,1.29,47.84,99510,1.1,26.25,33.57,43.88,56.77,73.17,54590,69830,91280,118080,152190,,
