AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,102440,1.4,1000,1,,25.38,52790,2.8,10.5,13.77,19.32,29.34,45.1,21840,28640,40200,61030,93810,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,6060,2.6,59.162,1.08,,56.69,117920,2.2,25.23,33.37,47.78,70.5,#,52480,69400,99370,146630,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,110,10.6,1.078,0.77,,86.38,179660,5.5,31.8,48.38,66.31,#,#,66140,100630,137920,#,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,1670,4.8,16.348,1,,56.87,118300,2.9,23.39,30.48,44.06,68.66,#,48660,63410,91640,142820,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,60,12.1,0.597,1.68,,*,19430,6,*,*,*,*,*,16150,16870,18080,19280,32630,True,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,130,11.6,1.246,0.69,,71.43,148580,3.7,35.65,46.49,65.99,90.98,#,74150,96700,137260,189230,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,180,11.5,1.726,0.63,,66.28,137860,6,27.91,36.29,62.92,84.67,#,58050,75490,130870,176120,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,detailed,210,6.6,2.025,3.76,,56.14,116770,4.5,25.49,35.02,51.94,72.05,90.82,53020,72840,108030,149860,188910,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,detailed,160,5.5,1.556,0.74,,55.88,116230,3.3,29.71,38.4,49.28,69.94,89.11,61790,79860,102500,145470,185340,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,310,7.9,3.068,1.04,,64.07,133270,3.1,36.13,46.46,62.78,77.73,94.69,75150,96640,130580,161680,196960,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,580,5.7,5.648,1.27,,64.16,133460,3.1,32.17,42.45,57.44,77.78,#,66920,88290,119470,161790,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,160,9.6,1.576,1.25,,57.08,118720,2.6,34.54,46.91,57.24,68.69,79.78,71840,97580,119050,142880,165930,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,60,4.9,0.623,1.27,,67.34,140070,3.7,39.3,46.85,60.65,78.5,#,81750,97450,126150,163270,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,60,12.7,0.544,0.6,,69.49,144540,10.7,18.45,49.38,61.12,86.6,#,38380,102700,127130,180140,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,90,5.5,0.921,0.87,,66.88,139110,4.2,35.69,43.53,55.66,76.8,#,74230,90550,115760,159740,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,40,15.1,0.374,1.43,,63.42,131920,3.9,40.91,46.31,63.59,76.57,90.1,85090,96330,132270,159270,187410,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,190,25,1.83,0.92,,53.03,110300,7.4,29.54,35.97,47.89,60.09,84.18,61450,74820,99610,124990,175100,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,50,28.9,0.499,1.4,,24.15,50230,4.8,16.1,19.74,22.77,27.51,35.86,33480,41060,47370,57210,74590,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,290,5.5,2.819,1.53,,*,87470,2.8,*,*,*,*,*,59000,72280,87970,100800,118480,True,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,430,9.5,4.229,4.29,,51.56,107250,4.8,26.33,31.88,41.89,60.58,91.19,54760,66310,87130,126010,189670,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,100,8,0.932,0.7,,74.9,155780,4.3,50.78,61.14,71.07,80.74,#,105620,127170,147830,167930,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,140,19.5,1.394,0.87,,31.63,65780,4,21.8,25.91,29.76,36.44,45,45340,53880,61890,75800,93600,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,60,34.1,0.612,2.34,,33.3,69270,11,16.98,21.55,27.79,49.27,58.88,35310,44830,57810,102470,122470,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,530,3,5.151,1.92,,69.67,144920,5.9,32.53,43.05,59.13,83.4,#,67670,89540,123000,173480,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,40,2.5,0.383,0.83,,75.16,156330,3.6,43.5,48.93,70.7,87.99,#,90490,101780,147050,183020,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,0,Cross-industry,cross-industry,1235,11-9131,Postmasters and Mail Superintendents,detailed,60,0,0.537,5.69,,34,70720,1,29.8,31.17,33.46,36.15,41.29,61970,64830,69590,75200,85870,,
