AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,100670,0,1000,1,,,30.94,64360,0.4,14.22,17.54,23.17,34.8,50.74,29580,36490,48190,72390,105540,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,6450,1.1,64.049,0.93,,,64.43,134020,1,29,37.91,51.57,77.08,106.68,60320,78850,107260,160320,221890,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,90,16.3,0.87,0.63,,,115.88,241040,7.2,40.35,51.62,65.99,#,#,83930,107380,137260,#,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,2170,3.4,21.588,0.93,,,60.61,126060,1.6,26.1,33,45.98,69.48,105.4,54290,68640,95630,144520,219230,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,120,6.7,1.234,0.51,,,79.61,165580,2.1,41.64,55.21,68.75,96.47,#,86610,114840,143000,200660,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,170,12.4,1.687,0.44,,,70.52,146680,2.7,28.83,46.91,60.67,84.03,#,59970,97560,126190,174780,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,60,4.8,0.639,1.33,,,74.6,155160,2.3,41.04,51.87,64.21,75.72,#,85370,107890,133560,157500,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,110,3.7,1.069,5.1,,,77.74,161690,0.9,43.65,50.94,70.71,80.92,111.28,90790,105950,147080,168310,231460,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,120,5.1,1.163,0.73,,,56.85,118250,4,31.01,39.23,52.86,65.57,87.55,64510,81600,109940,136380,182100,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,130,7.4,1.277,1.48,,,53.78,111860,2.1,28.63,38.5,47.79,65.99,86.57,59550,80070,99410,137250,180060,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,340,5.6,3.405,0.87,,,76.53,159190,1.2,48.42,62.98,73.18,84.64,105.76,100710,130990,152210,176060,219980,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,520,3.1,5.142,0.99,,,77.53,161260,1.4,36.31,48.74,65.63,87.84,#,75520,101390,136520,182700,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,170,5.6,1.714,1.17,,,60.74,126340,1.4,40.05,45.75,57.7,69.03,85,83290,95160,120020,143590,176810,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,70,7.8,0.684,1.34,,,66.85,139040,1.5,44.3,51,63.76,77.71,92.26,92140,106080,132620,161640,191900,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,70,6.9,0.667,0.51,,,66.01,137310,5.7,29.6,42.11,54.27,81.74,112.01,61570,87580,112880,170020,232970,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,120,3.9,1.186,0.9,,,72.21,150200,1.8,41.23,51.55,60.43,80.46,#,85750,107210,125690,167350,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,40,13.1,0.372,1.36,,,68.8,143110,6.2,48.13,51.67,63.7,78.91,101.77,100120,107470,132490,164140,211670,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,130,17.5,1.319,0.61,,,53.92,112160,4.2,30.76,36.99,47.68,63.68,96.15,63980,76940,99170,132440,199990,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,40,19.4,0.384,0.91,,,28.71,59710,3.7,18.97,23.09,27.88,31.92,42.41,39460,48030,57980,66390,88210,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,310,4.3,3.049,1.53,,,*,92970,1.1,*,*,*,*,*,67530,78430,94830,101840,121720,True,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,340,1.9,3.398,3.08,,,*,*,*,*,*,*,*,*,*,*,*,*,*,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,30,10.9,0.327,0.98,,,38.74,80580,4.4,24.03,27.45,40.35,42.9,56.74,49980,57090,83930,89230,118020,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,170,5.7,1.697,1.24,,,78.17,162600,1.8,54.37,64.7,70.94,92.19,110.66,113090,134580,147560,191760,230170,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,120,18.9,1.186,0.73,,,35.11,73020,2.8,23.36,29.54,31.32,38.5,49.13,48580,61440,65140,80080,102190,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,480,2.7,4.726,1.39,,,82.36,171310,2.6,37.9,47.84,61.71,84.03,#,78830,99500,128350,174780,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,40,23.7,0.361,0.57,,,95.99,199650,5.2,47.35,62.29,87.91,112.81,#,98490,129550,182850,234650,#,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-9131,Postmasters and Mail Superintendents,detailed,50,0,0.536,5.9,,,41.09,85460,0,36.42,39.12,39.91,42.43,45.67,75750,81370,83010,88250,94990,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,100,15.9,0.954,0.51,,,33.23,69110,11.4,19.68,25.18,31.52,35.76,46.88,40940,52370,65560,74370,97520,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,160,10.2,1.608,1.41,,,38.4,79880,2.4,23.25,28.85,34.9,40.25,53.47,48350,60010,72580,83720,111230,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,11-9199,"Managers, All Other",detailed,60,7.7,0.631,0.16,,,76.24,158570,8.9,34.61,53.02,63.34,82.74,97.04,71990,110280,131750,172100,201850,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,4900,1.6,48.72,0.73,,,38.16,79360,1.2,21.52,27.69,35.4,45.22,57.56,44760,57580,73640,94050,119720,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-1020,Buyers and Purchasing Agents,detailed,430,4.2,4.27,1.36,,,32.58,67760,1.2,20.87,26.55,31.36,38.19,45.91,43400,55230,65220,79430,95490,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,50,15,0.475,0.25,,,41.34,85980,2.3,29.29,30.59,40.97,49.22,55.7,60920,63640,85220,102380,115850,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-1041,Compliance Officers,detailed,120,12,1.228,0.49,,,37.75,78520,5.2,22.56,26.56,31.39,42.86,61.75,46920,55240,65280,89140,128450,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-1051,Cost Estimators,detailed,130,16.9,1.266,0.87,,,35.81,74480,3.4,23.97,28.73,34.55,41.78,51.59,49860,59750,71870,86900,107310,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-1071,Human Resources Specialists,detailed,430,6.9,4.286,0.73,,,37.06,77080,5.2,18.05,26.11,33.68,42.94,56.63,37550,54310,70050,89300,117800,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-1081,Logisticians,detailed,60,12.3,0.559,0.37,,,36.72,76370,4.7,23.24,27.15,33.93,42.01,50.02,48340,56470,70580,87370,104040,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-1082,Project Management Specialists,detailed,440,4.6,4.328,0.69,,,41.46,86240,1.4,25.6,31.28,39.59,47.03,62.01,53240,65060,82340,97830,128970,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-1111,Management Analysts,detailed,250,12.2,2.489,0.45,,,52.21,108590,9.6,31.12,35.43,46.84,57.78,74.38,64730,73690,97420,120180,154710,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-1121,"Meeting, Convention, and Event Planners",detailed,70,10.3,0.714,0.89,,,28.36,58990,7.2,18.22,21.22,26.13,30.38,41.88,37900,44140,54350,63190,87110,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-1131,Fundraisers,detailed,210,6.7,2.117,3.16,,,37.23,77440,2.2,24.2,29.38,34.88,43.68,51.26,50330,61100,72540,90850,106610,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,60,17.7,0.638,0.97,,,35,72800,8.1,26.16,30.38,32.05,39.42,45.71,54410,63190,66650,81990,95080,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-1151,Training and Development Specialists,detailed,290,5.7,2.898,1.09,,,32.91,68460,2.3,14.58,23.51,31.66,40.04,48.73,30320,48900,65840,83280,101370,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-1161,Market Research Analysts and Marketing Specialists,detailed,470,9.9,4.658,0.84,,,33.43,69530,8.1,16,21.75,30.12,40.86,56.11,33280,45240,62660,84990,116710,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-1199,"Business Operations Specialists, All Other",detailed,190,5.7,1.92,0.26,,,39.1,81330,3,19.06,29.25,37.12,47.78,62.83,39640,60850,77210,99380,130680,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-2011,Accountants and Auditors,detailed,960,2.7,9.567,1.01,,,39.17,81470,1.5,25.36,30.61,37.48,44.83,53.24,52740,63680,77950,93250,110740,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-2041,Credit Analysts,detailed,50,7.9,0.49,1.02,,,35.18,73170,1.7,23.49,27.65,32.64,41.42,52.61,48870,57510,67890,86160,109430,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-2051,Financial and Investment Analysts,detailed,90,8.8,0.92,0.43,,,45.76,95180,3.2,30.97,32.61,40.44,50.43,66.58,64410,67820,84120,104880,138490,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-2052,Personal Financial Advisors,detailed,130,18.3,1.286,0.72,,,52.39,108960,7.4,21.41,29.67,45.63,58.65,75.75,44540,61720,94910,121990,157550,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-2053,Insurance Underwriters,detailed,50,11.8,0.526,0.79,,,46.93,97620,5.8,28.91,39.12,47.43,52.19,64.6,60130,81370,98650,108560,134370,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-2071,Credit Counselors,detailed,40,9.4,0.37,2.01,,,29.06,60440,2,21.13,23.13,30.95,33.91,42.06,43950,48110,64380,70530,87480,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-2072,Loan Officers,detailed,130,13.1,1.299,0.61,,,42.31,88000,5.1,22.45,25,33.87,44.21,74.32,46690,52000,70460,91960,154580,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,70,15.7,0.709,2.14,,,24.48,50920,4.2,18.5,19.05,23.89,29.53,32.03,38480,39610,49680,61420,66610,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-2082,Tax Preparers,detailed,30,21.5,0.348,0.65,,,26.34,54780,9,15.92,16.99,21.3,30.26,41.95,33120,35340,44310,62940,87250,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,13-2099,"Financial Specialists, All Other",detailed,40,7.9,0.381,0.47,,,40.91,85100,2.5,26.2,30.56,42.19,48,55.37,54490,63550,87760,99840,115170,,
3300006,West Central-Southwest New Hampshire nonmetropolitan area,6,NH,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,2250,1.9,22.31,0.65,,,46.98,97710,0.8,26.83,34.16,43.71,57.95,69.49,55800,71050,90910,120540,144540,,
