AREA_TITLE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,LOC_QUOTIENT
"Ann Arbor, MI",All Occupations,,187890,1.6,23.50,48880,2.5,8.55,11.82,18.49,29.56,42.38,17770,24590,38450,61480,88150,,,
"Ann Arbor, MI",Management occupations,major,9210,4.7,49.06,102040,2.6,21.77,30.91,43.96,61.98,#,45280,64300,91430,128910,#,,,
"Ann Arbor, MI",Chief executives,,550,7.6,77.61,161420,4.3,29.11,55.07,77.10,#,#,60560,114540,160370,#,#,,,
"Ann Arbor, MI",General and operations managers,,1600,4.1,51.95,108050,3.6,19.39,27.84,46.86,70.55,#,40320,57910,97460,146750,#,,,
"Ann Arbor, MI",Legislators,,50,7.9,*,*,*,*,*,*,*,*,*,*,*,*,*,True,,
"Ann Arbor, MI",Advertising and promotions managers,,40,18.8,45.24,94100,13.8,13.52,15.72,43.91,66.73,#,28120,32700,91330,138810,#,,,
"Ann Arbor, MI",Marketing managers,,340,21.5,53.02,110280,4.4,31.18,37.62,47.72,63.93,#,64850,78260,99260,132970,#,,,
"Ann Arbor, MI",Sales managers,,580,17.9,40.51,84270,3.3,23.81,28.55,37.12,51.13,62.66,49520,59370,77210,106340,130340,,,
"Ann Arbor, MI",Administrative services managers,,720,3.9,38.03,79100,2.7,22.74,28.55,36.00,45.59,57.67,47300,59380,74890,94820,119960,,,
"Ann Arbor, MI",Computer and information systems managers,,450,9.5,49.82,103630,3.2,34.05,40.33,47.61,58.43,69.49,70830,83880,99030,121530,144550,,,
"Ann Arbor, MI",Financial managers,,520,12.1,50.42,104880,4.0,26.47,34.78,46.88,61.30,#,55070,72330,97500,127510,#,,,
"Ann Arbor, MI",Compensation and benefits managers,,50,11.8,52.17,108510,4.7,32.76,43.01,49.58,59.23,66.55,68150,89460,103130,123200,138410,,,
"Ann Arbor, MI",Training and development managers,,**,**,38.27,79610,4.1,22.69,28.66,38.63,45.16,49.09,47200,59610,80340,93930,102110,,,
