AREA_TITLE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,LOC_QUOTIENT
"Los Angeles-Long Beach-Anaheim, CA",All Occupations,total,5395280,0.6,1000.000,23.55,48990,0.8,8.92,11.01,17.49,29.35,45.42,18550,22900,36370,61050,94470,,,
"Los Angeles-Long Beach-Anaheim, CA",Management occupations,major,315500,1.8,58.478,56.82,118180,1.3,23.92,34.22,50.24,71.31,#,49750,71180,104510,148330,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Chief executives,,14290,5.7,2.648,100.94,209950,5.1,57.13,79.77,#,#,#,118830,165930,#,#,#,,,
"Los Angeles-Long Beach-Anaheim, CA",General and operations managers,,93350,1.7,17.303,61.68,128290,0.9,26.66,35.95,52.76,#,#,55450,74770,109730,#,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Legislators,,650,3.6,0.120,*,57160,5.3,*,*,*,*,*,30760,41110,54330,77380,87280,True,,
"Los Angeles-Long Beach-Anaheim, CA",Advertising and promotions managers,,2150,7.5,0.399,50.01,104030,4.1,26.43,33.57,41.99,60.68,#,54970,69820,87350,126210,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Marketing managers,,11500,4.3,2.131,64.86,134900,2.7,30.98,42.08,59.37,#,#,64430,87530,123490,#,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Sales managers,,22250,2.7,4.125,57.49,119580,1.6,24.61,33.24,49.95,73.69,#,51180,69150,103910,153270,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Public relations managers,,2440,6.9,0.452,53.03,110300,3.8,28.11,36.23,48.09,61.54,#,58470,75350,100020,128010,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Administrative services managers,,11680,2.4,2.164,44.86,93300,1.9,23.04,32.12,41.96,54.75,69.79,47920,66810,87270,113890,145150,,,
"Los Angeles-Long Beach-Anaheim, CA",Computer and information systems managers,,13910,4.8,2.579,62.86,130750,1.4,36.98,47.98,60.11,74.61,#,76920,99800,125020,155190,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Financial managers,,25500,2.2,4.727,62.51,130030,1.2,32.45,42.87,56.13,75.34,#,67490,89180,116750,156700,#,,,
"Los Angeles-Long Beach-Anaheim, CA",Compensation and benefits managers,,1340,5.0,0.249,47.18,98130,1.8,25.91,34.20,43.42,57.08,71.70,53900,71130,90320,118720,149130,,,
"Los Angeles-Long Beach-Anaheim, CA",Training and development managers,,880,7.2,0.163,48.51,100890,2.3,24.77,36.77,46.64,57.78,74.41,51520,76470,97000,120170,154760,,,
