AREA_TITLE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
West Central-Southwest New Hampshire nonmetropolitan area,All Occupations,total,97050,0,1000,1,27.39,56970,0.4,11.56,14.48,22.21,30.07,47.44,24040,30130,46190,62550,98680,,
West Central-Southwest New Hampshire nonmetropolitan area,Management Occupations,major,6000,1.1,61.845,0.98,54.36,113060,0.7,23.46,35.41,47.23,63.11,93.28,48790,73640,98230,131260,194030,,
West Central-Southwest New Hampshire nonmetropolitan area,Chief Executives,detailed,90,23.1,0.938,0.66,87.6,182200,15.5,29.4,45.54,61.3,#,#,61150,94710,127510,#,#,,
West Central-Southwest New Hampshire nonmetropolitan area,General and Operations Managers,detailed,1880,2.9,19.375,0.91,51.46,107040,1.4,22.61,29.16,41.67,60.76,98.26,47040,60640,86670,126380,204380,,
West Central-Southwest New Hampshire nonmetropolitan area,Legislators,detailed,50,37.2,0.521,1.65,*,25470,20.2,*,*,*,*,*,16800,17510,17510,17730,46590,True,
West Central-Southwest New Hampshire nonmetropolitan area,Marketing Managers,detailed,120,6.9,1.243,0.63,62.58,130160,2.7,36.14,47.85,61.06,73.42,93.34,75170,99520,127000,152720,194140,,
West Central-Southwest New Hampshire nonmetropolitan area,Sales Managers,detailed,190,11.3,1.919,0.6,62.15,129260,3.3,28.56,37.43,59.26,78.23,#,59410,77860,123250,162720,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Public Relations Managers,detailed,120,5.2,1.24,2.92,59.28,123300,1.4,28.65,36.1,57.54,72.46,91.43,59590,75090,119680,150720,190180,,
West Central-Southwest New Hampshire nonmetropolitan area,Fundraising Managers,detailed,60,3.7,0.604,3.67,60.79,126430,2.2,29.04,37.1,57.54,72.46,#,60400,77170,119680,150720,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Administrative Services Managers,detailed,90,9.9,0.879,0.55,50.66,105360,2.3,25.59,35.88,47.23,60.43,77.38,53230,74620,98230,125690,160960,,
West Central-Southwest New Hampshire nonmetropolitan area,Facilities Managers,detailed,100,7.6,0.991,1.38,47.14,98040,4.1,28.77,31.32,44.62,57.41,72.44,59840,65140,92800,119410,150660,,
West Central-Southwest New Hampshire nonmetropolitan area,Computer and Information Systems Managers,detailed,300,7.9,3.074,0.89,70.05,145690,1.1,41.63,48.47,63.35,80.96,#,86590,100820,131770,168400,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Financial Managers,detailed,560,3.5,5.751,1.19,64.67,134500,1.7,29.86,38.8,57.8,78.05,#,62100,80710,120230,162350,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Industrial Production Managers,detailed,120,3.9,1.24,0.91,57.2,118970,1.4,36.51,45.52,57.54,72.31,79.19,75950,94690,119680,150410,164700,,
West Central-Southwest New Hampshire nonmetropolitan area,Purchasing Managers,detailed,70,2.9,0.731,1.48,64.3,133740,2.1,37.43,47.46,60.86,75.54,80.73,77860,98720,126590,157110,167920,,
West Central-Southwest New Hampshire nonmetropolitan area,"Transportation, Storage, and Distribution Managers",detailed,50,7.2,0.549,0.53,61.89,128740,4.1,22.78,45.34,60.93,66,#,47380,94310,126740,137270,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Human Resources Managers,detailed,110,6.9,1.083,0.92,66.73,138800,2,36.1,47.46,60.69,76.63,#,75090,98720,126230,159400,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Training and Development Managers,detailed,30,7.3,0.317,1.25,61.11,127110,2.9,37.17,45.64,60.69,77.65,91.43,77320,94940,126230,161520,190180,,
West Central-Southwest New Hampshire nonmetropolitan area,Construction Managers,detailed,100,12,1.032,0.51,51.07,106230,5.1,30.06,38.4,47.23,60.35,74.94,62520,79870,98230,125530,155880,,
West Central-Southwest New Hampshire nonmetropolitan area,"Education and Childcare Administrators, Preschool and Daycare",detailed,50,11.9,0.525,1.31,25.05,52110,4.2,14.41,18.65,27.87,29.37,30.92,29970,38790,57970,61090,64320,,
West Central-Southwest New Hampshire nonmetropolitan area,"Education Administrators, Kindergarten through Secondary",detailed,320,4.1,3.275,1.68,*,88540,1.4,*,*,*,*,*,59320,76580,94380,98810,123540,True,
West Central-Southwest New Hampshire nonmetropolitan area,"Education Administrators, Postsecondary",detailed,370,1.5,3.787,3.42,52.44,109070,0.8,28.43,35.88,45.44,59.54,91.57,59140,74620,94520,123850,190470,,
West Central-Southwest New Hampshire nonmetropolitan area,Architectural and Engineering Managers,detailed,140,6.8,1.465,1.1,67.2,139780,1.6,45.69,57.8,63.13,78.48,92.03,95040,120230,131320,163240,191420,,
West Central-Southwest New Hampshire nonmetropolitan area,Food Service Managers,detailed,120,20.5,1.257,0.84,33.63,69960,4.2,22.02,28.25,28.9,36.83,58.98,45800,58750,60110,76600,122680,,
West Central-Southwest New Hampshire nonmetropolitan area,Lodging Managers,detailed,60,14.8,0.669,2.62,28.41,59090,8.6,17.57,22.55,28.7,36.3,36.53,36550,46900,59700,75500,75990,,
West Central-Southwest New Hampshire nonmetropolitan area,Medical and Health Services Managers,detailed,410,1.8,4.203,1.36,64.4,133950,0.9,31.38,45.34,57.41,72.44,#,65270,94310,119410,150660,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Natural Sciences Managers,detailed,50,27.6,0.482,0.91,73.41,152690,10.9,42.22,47.85,68.05,92.21,#,87820,99540,141540,191790,#,,
West Central-Southwest New Hampshire nonmetropolitan area,Postmasters and Mail Superintendents,detailed,50,0,0.495,5.47,35.67,74190,0,31.6,33.16,34.72,37.88,42.92,65730,68970,72210,78790,89270,,
West Central-Southwest New Hampshire nonmetropolitan area,"Property, Real Estate, and Community Association Managers",detailed,80,11.9,0.847,0.51,30.48,63410,7.3,15.53,22.43,28.28,37.54,48.04,32290,46660,58820,78090,99920,,
West Central-Southwest New Hampshire nonmetropolitan area,Social and Community Service Managers,detailed,150,5.5,1.589,1.43,31.31,65120,1.9,22.43,22.92,28.86,36.67,46.46,46650,47670,60020,76270,96650,,
West Central-Southwest New Hampshire nonmetropolitan area,"Managers, All Other",detailed,90,12.2,0.959,0.27,50.77,105610,6.5,17.86,28.87,48.03,61.17,91.43,37160,60050,99900,127230,190180,,
West Central-Southwest New Hampshire nonmetropolitan area,Business and Financial Operations Occupations,major,4320,1.8,44.468,0.69,35.4,73640,1.2,22.07,24.31,30.6,38.92,49.52,45900,50570,63640,80950,103010,,
West Central-Southwest New Hampshire nonmetropolitan area,Buyers and Purchasing Agents,detailed,420,3.7,4.294,1.38,32.09,66760,0.8,23.25,28.29,30.37,37.92,46.48,48360,58830,63170,78870,96680,,
West Central-Southwest New Hampshire nonmetropolitan area,"Claims Adjusters, Examiners, and Investigators",detailed,30,20.2,0.31,0.16,41.95,87250,4.7,23.25,37.17,38.33,48.05,60.05,48360,77310,79730,99950,124900,,
West Central-Southwest New Hampshire nonmetropolitan area,Compliance Officers,detailed,120,16.8,1.203,0.51,36.97,76910,6.3,19.23,24.58,29.96,45.05,76.62,40000,51120,62320,93710,159380,,
West Central-Southwest New Hampshire nonmetropolitan area,Cost Estimators,detailed,110,9.3,1.138,0.77,34.64,72040,3.9,22.82,23.25,36.48,43.77,47.18,47470,48360,75870,91050,98140,,
West Central-Southwest New Hampshire nonmetropolitan area,Human Resources Specialists,detailed,370,4.9,3.792,0.72,33.02,68680,1.6,22.53,25.16,29.93,37.92,46.48,46870,52330,62250,78870,96680,,
West Central-Southwest New Hampshire nonmetropolitan area,Logisticians,detailed,70,12,0.765,0.57,35.48,73790,2.6,23.99,29.36,30.76,38.92,48.58,49900,61070,63980,80950,101040,,
West Central-Southwest New Hampshire nonmetropolitan area,Project Management Specialists,detailed,540,5.3,5.585,1.06,41.65,86640,2.4,23.9,29.45,38.29,48.92,60.95,49710,61260,79650,101760,126780,,
West Central-Southwest New Hampshire nonmetropolitan area,Management Analysts,detailed,230,8.4,2.335,0.43,44.39,92320,6.6,29.45,30.62,38.8,48.93,63.38,61260,63700,80710,101760,131840,,
West Central-Southwest New Hampshire nonmetropolitan area,"Meeting, Convention, and Event Planners",detailed,90,18.4,0.927,1.33,26.33,54770,3.7,14.26,22.41,23.56,29.2,36.83,29670,46620,49010,60740,76600,,
