Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code
Agriculture,,,,1
Natural resources and conservation,,,2.6%,3
Architecture,,,0.3%,4
"Area, ethnic, and gender studies",,,0.1%,5
Communication/journalism,,,6.2%,9
Communication technologies,,,,10
Computer and information sciences,,,1.0%,11
Personal and culinary services,,,,12
Education,,,13.8%,13
Engineering,,,,14
Engineering technologies,,,1.9%,15
"Foreign languages, literatures, and linguistics",,,1.2%,16
Family and consumer sciences,,,1.1%,19
Law/legal studies,,,,22
English,,,1.8%,23
Liberal arts/general studies,,,0.8%,24
Library science,,,,25
Biological/life sciences,,,3.7%,26
Mathematics and statistics,,,0.6%,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,,,0.9%,30
Parks and recreation,,,6.7%,31
Philosophy and religious studies,,,0.7%,38
Theology and religious vocations,,,,39
Physical sciences,,,2.5%,40
Science technologies,,,,41
Psychology,,,7.2%,42
"Homeland Security, law enforcement, firefighting, and
protective services",,,4.0%,43
Public administration and social services,,,1.8%,44
Social sciences,,,6.9%,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,6.1%,50
Health professions and related programs,,,8.8%,51
Business/marketing,,,17.6%,52
History,,,1.8%,54
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,100.02%,
