Category,Diploma/Certificates,Associate,Bachelor’s,CIP 2010 Categories to Include
Agriculture,,,,
Natural resources and conservation,,,,
Architecture,,,,
"Area, ethnic, and gender studies",,,,
Communication/journalism,,,,
Communication technologies,,,,
Computer and information sciences,,,18%,
Personal and culinary services,,,,
Education,,,,
Engineering,,,36%,
Engineering technologies,,,,
"Foreign languages, literatures, and linguistics",,,,
Family and consumer sciences,,,,
Law/legal studies,,,,
English,,,,
Liberal arts/general studies,,,,
Library science,,,,
Biological/life sciences,,,13%,
Mathematics and statistics,,,11%,
Military science and military technologies,,,,
Interdisciplinary studies,,,,
Parks and recreation,,,,
Philosophy and religious studies,,,,
Theology and religious vocations,,,,
Physical sciences,,,22%,
Science technologies,,,,
Psychology,,,,
"Homeland Security, law enforcement, firefighting,
and protective services",,,,
Public administration and social services,,,,
Social sciences,,,,
Construction trades,,,,
Mechanic and repair technologies,,,,
Precision production,,,,
Transportation and materials moving,,,,
Visual and performing arts,,,,
Health professions and related programs,,,,
Business/marketing,,,1%,
History,,,,
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,100.00%,
