Category,Diploma/Certificates,Associate,Bachelor’s,CIP 2010 Categories to Include
Agriculture,0,0,0.00%,1
Natural resources and conservation,0,0,3.16%,3
Architecture,0,0,0.00%,4
"Area, ethnic, and gender studies",0,0,2.94%,5
Communication/journalism,0,0,0.00%,9
Communication technologies,0,0,0.00%,10
Computer and information sciences,0,0,1.74%,11
Personal and culinary services,0,0,0.00%,12
Education,0,0,1.53%,13
Engineering,0,0,0.00%,14
Engineering technologies,0,0,0.00%,15
"Foreign languages, literatures, and linguistics",0,0,6.98%,16
Family and consumer sciences,0,0,0.00%,19
Law/legal studies,0,0,0.00%,22
English,0,0,6.43%,23
Liberal arts/general studies,0,0,0.00%,24
Library science,0,0,0.00%,25
Biological/life sciences,0,0,9.71%,26
Mathematics and statistics,0,0,2.40%,27
Military science and military technologies,0,0,0.00%,28 & 29
Interdisciplinary studies,0,0,3.71%,30
Parks and recreation,0,0,0.00%,31
Philosophy and religious studies,0,0,5.02%,38
Theology and religious vocations,0,0,0.00%,39
Physical sciences,0,0,5.02%,40
Science technologies,0,0,0.00%,41
Psychology,0,0,7.09%,42
"Homeland Security, law enforcement, firefighting, and
protective services",0,0,0.00%,43
Public administration and social services,0,0,0.00%,44
Social sciences,0,0,31.95%,45
Construction trades,0,0,0.00%,46
Mechanic and repair technologies,0,0,0.00%,47
Precision production,0,0,0.00%,48
Transportation and materials moving,0,0,0.00%,49
Visual and performing arts,0,0,4.36%,50
Health professions and related programs,0,0,0.00%,51
Business/marketing,0,0,0.00%,52
History,0,0,7.96%,54
Other,0.00%,0.00%,0.00%,
TOTAL (should = 100%),0.00%,0.00%,100.00%,
