Category,Diploma/Certificates,Associate,Bachelor’s,CIP 2010 Categories to Include
Agriculture,,,0.0%,1
Natural resources and conservation,,,1.4%,3
Architecture,,,0.9%,4
"Area, ethnic, and gender studies",,,2.2%,5
Communication/journalism,,,2.8%,9
Communication technologies,,,0.0%,10
Computer and information sciences,,,4.1%,11
Personal and culinary services,,,0.0%,12
Education,,,1.2%,13
Engineering,,,16.0%,14
Engineering technologies,,,0.0%,15
"Foreign languages, literatures, and linguistics",,,4.3%,16
Family and consumer sciences,,,0.0%,19
Law/legal studies,,,0.0%,22
English,,,3.2%,23
Liberal arts/general studies,,,1.0%,24
Library science,,,0.0%,25
Biological/life sciences,,,9.7%,26
Mathematics and statistics,,,3.0%,27
Military science and military technologies,,,0.0%,28 & 29
Interdisciplinary studies,,,3.5%,30
Parks and recreation,,,2.8%,31
Philosophy and religious studies,,,0.7%,38
Theology and religious vocations,,,0.0%,39
Physical sciences,,,1.4%,40
Science technologies,,,0.0%,41
Psychology,,,10.2%,42
"Homeland Security, law enforcement, firefighting, and
protective services",,,0.0%,43
Public administration and social services,,,0.8%,44
Social sciences,,,14.2%,45
Construction trades,,,0.0%,46
Mechanic and repair technologies,,,0.0%,47
Precision production,,,0.0%,48
Transportation and materials moving,,,0.0%,49
Visual and performing arts,,,5.4%,50
Health professions and related programs,,,3.1%,51
Business/marketing,,,5.9%,52
History,,,2.2%,54
Other,,,0.0%,
TOTAL (should = 100%),0.0%,0.0%,100.0%,
