Category,Diploma/Certificates,Associate,Bachelor’s,CIP 2010 Categories to Include
Agriculture,2%,,3%,1
Natural resources and conservation,,,1%,3
Architecture,,,1%,4
"Area, ethnic, and gender studies",0%,,0%,5
Communication/journalism,,,8%,9
Communication technologies,,,,10
Computer and information sciences,,,1%,11
Personal and culinary services,,,,12
Education,58%,,3%,13
Engineering,0%,,10%,14
Engineering technologies,3%,,,15
"Foreign languages, literatures, and linguistics",,,1%,16
Family and consumer sciences,23%,,4%,19
Law/legal studies,,,,22
English,4%,,2%,23
Liberal arts/general studies,,,2%,24
Library science,,,,25
Biological/life sciences,1%,,6%,26
Mathematics and statistics,,,1%,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,3%,,1%,30
Parks and recreation,,,3%,31
Philosophy and religious studies,,,1%,38
Theology and religious vocations,,,,39
Physical sciences,,,1%,40
Science technologies,,,,41
Psychology,,,7%,42
"Homeland Security, law enforcement, firefighting, and
protective services",1%,,3%,43
Public administration and social services,,,0%,44
Social sciences,,,12%,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,1%,50
Health professions and related programs,2%,,8%,51
Business/marketing,1%,,18%,52
History,,,2%,54
Other,,,,
TOTAL (should = 100%),100.00%,0.00%,100.00%,
