Category,Diploma/Certificates,Associate,Bachelor’s,CIP 2010 Categories to Include
Agriculture,,,0.16%,1
Natural resources and conservation,,,2.33%,3
Architecture,,,0.28%,4
"Area, ethnic, and gender studies",,,0.08%,5
Communication/journalism,,,6.41%,9
Communication technologies,,,,10
Computer and information sciences,,,1.24%,11
Personal and culinary services,,,,12
Education,,,11.50%,13
Engineering,,,,14
Engineering technologies,,,1.52%,15
"Foreign languages, literatures, and linguistics",,,1.01%,16
Family and consumer sciences,,,1.16%,19
Law/legal studies,,,,22
English,,,2.09%,23
Liberal arts/general studies,,,0.23%,24
Library science,,,,25
Biological/life sciences,,,3.36%,26
Mathematics and statistics,,,0.83%,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,,,0.70%,30
Parks and recreation,,,7.32%,31
Philosophy and religious studies,,,0.78%,38
Theology and religious vocations,,,,39
Physical sciences,,,2.59%,40
Science technologies,,,,41
Psychology,,,7.14%,42
"Homeland Security, law enforcement, firefighting, and
protective services",,,4.14%,43
Public administration and social services,,,2.87%,44
Social sciences,,,6.54%,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,6.90%,50
Health professions and related programs,,,9.07%,51
Business/marketing,,,18.38%,52
History,,,1.37%,54
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,100.00%,
