Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code
Agriculture,,,0.00%,1
Natural resources and conservation,,,4.42%,3
Architecture,,,0.00%,4
"Area, ethnic, and gender studies",,,3.06%,5
Communication/journalism,,,0.00%,9
Communication technologies,,,0.00%,10
Computer and information sciences,,,3.74%,11
Personal and culinary services,,,0.00%,12
Education,,,3.17%,13
Engineering,,,0.00%,14
Engineering technologies,,,0.00%,15
"Foreign languages, literatures, and linguistics",,,4.99%,16
Family and consumer sciences,,,0.00%,19
Law/legal studies,,,0.00%,22
English,,,4.88%,23
Liberal arts/general studies,,,0.00%,24
Library science,,,0.00%,25
Biological/life sciences,,,12.59%,26
Mathematics and statistics,,,2.27%,27
Military science and military technologies,,,0.00%,28 & 29
Interdisciplinary studies,,,4.08%,30
Parks and recreation,,,0.00%,31
Philosophy and religious studies,,,3.97%,38
Theology and religious vocations,,,0.00%,39
Physical sciences,,,5.10%,40
Science technologies,,,0.00%,41
Psychology,,,5.33%,42
"Homeland Security, law enforcement, firefighting, and
protective services",,,0.00%,43
Public administration and social services,,,0.00%,44
Social sciences,,,32.09%,45
Construction trades,,,0.00%,46
Mechanic and repair technologies,,,0.00%,47
Precision production,,,0.00%,48
Transportation and materials moving,,,0.00%,49
Visual and performing arts,,,3.97%,50
Health professions and related programs,,,0.00%,51
Business/marketing,,,0.00%,52
History,,,6.35%,54
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,100.00%,
