Category,Bachelor's,CIP Code
Agriculture,0.0%,1
Natural resources and conservation,1.2%,3
Architecture,0.6%,4
"Area, ethnic, and gender studies",1.2%,5
Communication/journalism,3.3%,9
Communication technologies,0.0%,10
Computer and information sciences,10.7%,11
Personal and culinary services,0.0%,12
Education,0.9%,13
Engineering,15.9%,14
Engineering technologies,0.0%,15
"Foreign languages, literatures, and linguistics",2.1%,16
Family and consumer sciences,0.0%,19
Law/legal studies,0.0%,22
English,2.0%,23
Liberal arts/general studies,0.8%,24
Library science,0.0%,25
Biological/life sciences,9.2%,26
Mathematics and statistics,2.8%,27
Military science and military technologies,0.0%,28 & 29
Interdisciplinary studies,3.9%,30
Parks and recreation,3.7%,31
Philosophy and religious studies,0.4%,38
Theology and religious vocations,0.0%,39
Physical sciences,1.8%,40
Science technologies,0.0%,41
Psychology,9.1%,42
"Homeland Security, law enforcement, firefighting, and protective services",0.0%,43
Public administration and social services,1.0%,44
Social sciences,11.7%,45
Construction trades,0.0%,46
Mechanic and repair technologies,0.0%,47
Precision production,0.0%,48
Transportation and materials moving,0.0%,49
Visual and performing arts,5.2%,50
Health professions and related programs,3.3%,51
Business/marketing,7.9%,52
History,1.1%,54
Other,0.0%,
TOTAL,100%,
