Category,Diploma/Certificates,Associate,Bachelor’s,CIP 2020 Categories to Include
Agriculture,,,,01
Natural resources and conservation,,,0.9%,03
Architecture,,,0.6%,04
"Area, ethnic, and gender studies",,,0.4%,05
Communication/journalism,,,2.9%,09
Communication technologies,,,,10
Computer and information sciences,,,6.3%,11
Personal and culinary services,,,,12
Education,,,0.2%,13
Engineering,,,11.9%,14
Engineering technologies,,,,15
"Foreign languages, literatures, and linguistics",,,0.8%,16
Family and consumer sciences,,,0.8%,19
Law/legal studies,,,,22
English,,,0.9%,23
Liberal arts/general studies,,,,24
Library science,,,,25
Biological/life sciences,,,19.6%,26
Mathematics and statistics,,,5.0%,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,,,18.5%,30
Parks and recreation,,,,31
Philosophy and religious studies,,,0.4%,38
Theology and religious vocations,,,,39
Physical sciences,,,4.4%,40
Science technologies,,,,41
Psychology,,,5.5%,42
"Homeland Security, law enforcement, firefighting,
and protective services",,,,43
Public administration and social services,,,,44
Social sciences,,,13.0%,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,2.6%,50
Health professions and related programs,,,2.9%,51
Business/marketing,,,1.4%,52
History,,,1.0%,54
Other,,,,
TOTAL (should = 100%),0.00%,0.00%,100.00%,
