Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code
Agriculture,1%,,4%,01
Natural resources and conservation,,,0%,03
Architecture,,,1%,04
"Area, ethnic, and gender studies",,,0%,05
Communication/journalism,3%,,8%,09
Communication technologies,,,,10
Computer and information sciences,,,3%,11
Personal and culinary services,,,,12
Education,37%,,3%,13
Engineering,0%,,11%,14
Engineering technologies,3%,,1%,15
"Foreign languages, literatures, and linguistics",,,1%,16
Family and consumer sciences,13%,,4%,19
Law/legal studies,,,,22
English,4%,,1%,23
Liberal arts/general studies,,,2%,24
Library science,,,,25
Biological/life sciences,3%,,7%,26
Mathematics and statistics,,,1%,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,5%,,1%,30
Parks and recreation,,,3%,31
Philosophy and religious studies,,,0%,38
Theology and religious vocations,,,,39
Physical sciences,2%,,2%,40
Science technologies,,,,41
Psychology,,,7%,42
"Homeland Security, law enforcement, firefighting,
and protective services",0%,,2%,43
Public administration and social services,,,0%,44
Social sciences,,,10%,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,1%,50
Health professions and related programs,7%,,6%,51
Business/marketing,22%,,19%,52
History,,,1%,54
Other,,,,
TOTAL (should = 100%),100%,0.00%,100%,
