Category,Diploma/Certificates,Associate,Bachelor's,CIP 2020 Categories to Include
Agriculture,,,0.53,1
Natural resources and conservation,,,2.82,3
Architecture,,,0.23,4
"Area, ethnic, and gender studies",,,0.14,5
Communication/journalism,,,7.65,9
Communication technologies,,,0.02,10
Computer and information sciences,,,2.04,11
Personal and culinary services,,,0.00,12
Education,,,9.16,13
Engineering,,,0.00,14
Engineering technologies,,,1.83,15
"Foreign languages, literatures, and linguistics",,,0.55,16
Family and consumer sciences,,,1.51,19
Law/legal studies,,,0.00,22
English,,,2.15,23
Liberal arts/general studies,,,0.39,24
Library science,,,0.00,25
Biological/life sciences,,,3.39,26
Mathematics and statistics,,,0.87,27
Military science and military technologies,,,0.00,28 and 29
Interdisciplinary studies,,,0.48,30
Parks and recreation,,,6.57,31
Philosophy and religious studies,,,0.48,38
Theology and religious vocations,,,0.00,39
Physical sciences,,,2.04,40
Science technologies,,,0.00,41
Psychology,,,7.03,42
"Homeland Security, law enforcement, firefighting,
and protective services",,,2.93,43
Public administration and social services,,,2.27,44
Social sciences,,,5.88,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,6.34,50
Health professions and related programs,,,10.03,51
Business/marketing,,,21.78,52
History,,,0.89,54
Other,,,,
