Category,Diploma/Certificates,Associate,Bachelor's,CIP 2020 Categories to Include
Agriculture,,,,1
Natural resources and conservation,,,,3
Architecture,,,,4
"Area, ethnic, and gender studies",,,,5
Communication/journalism,,,,9
Communication technologies,,,,10
Computer and information sciences,,,39.20,11
Personal and culinary services,,,,12
Education,,,,13
Engineering,,,28.60,14
Engineering technologies,,,,15
"Foreign languages, literatures, and linguistics",,,,16
Family and consumer sciences,,,,19
Law/legal studies,,,,22
English,,,,23
Liberal arts/general studies,,,,24
Library science,,,,25
Biological/life sciences,,,4.40,26
Mathematics and statistics,,,9.70,27
Military science and military technologies,,,,28 and 29
Interdisciplinary studies,,,,30
Parks and recreation,,,,31
Philosophy and religious studies,,,,38
Theology and religious vocations,,,,39
Physical sciences,,,17.60,40
Science technologies,,,,41
Psychology,,,,42
"Homeland Security, law enforcement, firefighting,
and protective services",,,,43
Public administration and social services,,,,44
Social sciences,,,0.40,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,,50
Health professions and related programs,,,,51
Business/marketing,,,,52
History,,,,54
Other,,,,
