Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code
Agriculture,,,,01
Natural resources and conservation,,,,03
Architecture,,,,04
"Area, ethnic, and gender studies",,,1.9%,05
Communication/journalism,,,,09
Communication technologies,,,,10
Computer and information sciences,,,2.0%,11
Personal and culinary services,,,,12
Education,,,,13
Engineering,,,,14
Engineering technologies,,,,15
"Foreign languages, literatures, and linguistics",,,3.5%,16
Family and consumer sciences,,,,19
Law/legal studies,,,,22
English,,,2.8%,23
Liberal arts/general studies,,,1.8%,24
Library science,,,,25
Biological/life sciences,,,5.7%,26
Mathematics and statistics,,,2.2%,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,,,7.2%,30
Parks and recreation,,,,31
Philosophy and religious studies,,,0.9%,38
Theology and religious vocations,,,,39
Physical sciences,,,1.4%,40
Science technologies,,,,41
Psychology,,,4.5%,42
"Homeland Security, law enforcement, firefighting, and protective services",,,,43
Public administration and social services,,,,44
Social sciences,,,38.8%,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,1.2%,50
Health professions and related programs,100.0%,,4.6%,51
Business/marketing,,,19.8%,52
History,,,1.7%,54
Other,,,,
TOTAL (should = 100%),100.00%,0.00%,100.00%,
