Category,Diploma/Certificates,Associate,Bachelor's,CIP Code
Agriculture,,,,1
Natural resources and conservation,,,,3
Architecture,,,,4
"Area, ethnic, and gender studies",,,4.6,5
Communication/journalism,,,,9
Communication technologies,,,,10
Computer and information sciences,,,9.2,11
Personal and culinary services,,,,12
Education,,,,13
Engineering,,,6.1,14
Engineering technologies,,,,15
"Foreign languages, literatures, and linguistics",,,3.5,16
Family and consumer sciences,,,,19
Law/legal studies,,,,22
English,,,2.9,23
Liberal arts/general studies,,,,24
Library science,,,,25
Biological/life sciences,,,8.5,26
Mathematics and statistics,,,8.0,27
Military science and military technologies,,,,28 and 29
Interdisciplinary studies,,,9.1,30
Parks and recreation,,,,31
Philosophy and religious studies,,,3.0,38
Theology and religious vocations,,,,39
Physical sciences,,,3.9,40
Science technologies,,,,41
Psychology,,,3.4,42
"Homeland Security, law enforcement, firefighting,
and protective services",,,,43
Public administration and social services,,,,44
Social sciences,,,30.7,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,4.3,50
Health professions and related programs,,,,51
Business/marketing,,,,52
History,,,2.8,54
Other,,,,
