Category,Diploma/Certificates,Associate,Bachelor's,CIP Code
Agriculture,,,,1
Natural resources and conservation,,,1.0,3
Architecture,,,1.0,4
"Area, ethnic, and gender studies",,,0.3,5
Communication/journalism,,,2.6,9
Communication technologies,,,,10
Computer and information sciences,,,8.4,11
Personal and culinary services,,,,12
Education,,,0.5,13
Engineering,,,10.9,14
Engineering technologies,,,,15
"Foreign languages, literatures, and linguistics",,,0.5,16
Family and consumer sciences,,,0.6,19
Law/legal studies,,,,22
English,,,1.0,23
Liberal arts/general studies,,,,24
Library science,,,,25
Biological/life sciences,,,19.5,26
Mathematics and statistics,,,4.3,27
Military science and military technologies,,,,28 and 29
Interdisciplinary studies,,,15.9,30
Parks and recreation,,,,31
Philosophy and religious studies,,,0.4,38
Theology and religious vocations,,,,39
Physical sciences,,,3.6,40
Science technologies,,,,41
Psychology,,,8.7,42
"Homeland Security, law enforcement, firefighting,
and protective services",,,,43
Public administration and social services,,,,44
Social sciences,,,10.3,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,2.8,50
Health professions and related programs,,,3.6,51
Business/marketing,,,3.3,52
History,,,0.7,54
Other,,,,
