Category,Bachelor's,CIP Code
Agriculture,,1
Natural resources and conservation,1%,3
Architecture,1%,4
"Area, ethnic, and gender studies",1%,5
Communication/journalism,2%,9
Communication technologies,,10
Computer and information sciences,16%,11
Personal and culinary services,,12
Education,1%,13
Engineering,14%,14
Engineering technologies,0%,15
"Foreign languages, literatures, and linguistics",1%,16
Family and consumer sciences,,19
Law/legal studies,,22
English,1%,23
Liberal arts/general studies,1%,24
Library science,,25
Biological/life sciences,9%,26
Mathematics and statistics,3%,27
Military science and military technologies,,28 & 29
Interdisciplinary studies,5%,30
Parks and recreation,3%,31
Philosophy and religious studies,0%,38
Theology and religious vocations,,39
Physical sciences,2%,40
Science technologies,,41
Psychology,8%,42
"Homeland Security, law enforcement, firefighting, and protective services",,43
Public administration and social services,1%,44
Social sciences,11%,45
Construction trades,,46
Mechanic and repair technologies,,47
Precision production,,48
Transportation and materials moving,,49
Visual and performing arts,5%,50
Health professions and related programs,4%,51
Business/marketing,8%,52
History,1%,54
Other,,-
TOTAL,100%,
