Category,Diploma/Certificates,Associate,Bachelor's,CIP Code
Agriculture,0.0,,3.0,1
Natural resources and conservation,,,0.0,3
Architecture,,,1.0,4
"Area, ethnic, and gender studies",,,0.0,5
Communication/journalism,6.0,,8.0,9
Communication technologies,,,,10
Computer and information sciences,,,5.0,11
Personal and culinary services,,,,12
Education,33.0,,4.0,13
Engineering,,,8.0,14
Engineering technologies,4.0,,1.0,15
"Foreign languages, literatures, and linguistics",0.0,,0.0,16
Family and consumer sciences,4.0,,3.0,19
Law/legal studies,,,,22
English,2.0,,2.0,23
Liberal arts/general studies,,,1.0,24
Library science,,,,25
Biological/life sciences,1.0,,9.0,26
Mathematics and statistics,0.0,,1.0,27
Military science and military technologies,,,,28 and 29
Interdisciplinary studies,1.0,,2.0,30
Parks and recreation,,,1.0,31
Philosophy and religious studies,,,0.0,38
Theology and religious vocations,,,,39
Physical sciences,0.0,,3.0,40
Science technologies,,,,41
Psychology,,,9.0,42
"Homeland Security, law enforcement, firefighting,
and protective services",0.0,,,43
Public administration and social services,,,0.0,44
Social sciences,,,11.0,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,3.0,,1.0,50
Health professions and related programs,5.0,,7.0,51
Business/marketing,39.0,,18.0,52
History,,,1.0,54
Other,,,,
