Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code,college,year
Agriculture,,,0.4%,1,asu,2016
Natural resources and conservation,,,2.7%,3,asu,2016
Architecture,,,0.2%,4,asu,2016
"Area, ethnic, and gender studies",,,0.1%,5,asu,2016
Communication/journalism,,,7.9%,9,asu,2016
Communication technologies,,,,10,asu,2016
Computer and information sciences,,,1.4%,11,asu,2016
Personal and culinary services,,,,12,asu,2016
Education,,,10.5%,13,asu,2016
Engineering,,,,14,asu,2016
Engineering technologies,,,1.4%,15,asu,2016
"Foreign languages, literatures, and linguistics",,,1.0%,16,asu,2016
Family and consumer sciences,,,1.2%,19,asu,2016
Law/legal studies,,,,22,asu,2016
English,,,1.8%,23,asu,2016
Liberal arts/general studies,,,0.4%,24,asu,2016
Library science,,,,25,asu,2016
Biological/life sciences,,,3.2%,26,asu,2016
Mathematics and statistics,,,0.9%,27,asu,2016
Military science and military technologies,,,,28 & 29,asu,2016
Interdisciplinary studies,,,0.6%,30,asu,2016
Parks and recreation,,,7.4%,31,asu,2016
Philosophy and religious studies,,,0.7%,38,asu,2016
Theology and religious vocations,,,,39,asu,2016
Physical sciences,,,2.6%,40,asu,2016
Science technologies,,,,41,asu,2016
Psychology,,,6.1%,42,asu,2016
"Homeland Security, law enforcement, firefighting, and
protective services",,,4.1%,43,asu,2016
Public administration and social services,,,2.6%,44,asu,2016
Social sciences,,,6.1%,45,asu,2016
Construction trades,,,,46,asu,2016
Mechanic and repair technologies,,,,47,asu,2016
Precision production,,,,48,asu,2016
Transportation and materials moving,,,,49,asu,2016
Visual and performing arts,,,6.2%,50,asu,2016
Health professions and related programs,,,10.7%,51,asu,2016
Business/marketing,,,18.6%,52,asu,2016
History,,,1.3%,54,asu,2016
Other,,,,,asu,2016
TOTAL (should = 100%),0.00%,0.00%,100.0%,,asu,2016
Agriculture,,,,1,george,2016
Natural resources and conservation,,,,3,george,2016
Architecture,,,,4,george,2016
"Area, ethnic, and gender studies",,,1.4%,5,george,2016
Communication/journalism,,,,9,george,2016
Communication technologies,,,,10,george,2016
Computer and information sciences,,,1.4%,11,george,2016
Personal and culinary services,,,,12,george,2016
Education,,,,13,george,2016
Engineering,,,,14,george,2016
Engineering technologies,,,,15,george,2016
"Foreign languages, literatures, and linguistics",,,5.1%,16,george,2016
Family and consumer sciences,,,,19,george,2016
Law/legal studies,,,,22,george,2016
English,,,4.5%,23,george,2016
Liberal arts/general studies,,,2.0%,24,george,2016
Library science,,,,25,george,2016
Biological/life sciences,,,5.9%,26,george,2016
Mathematics and statistics,,,1.2%,27,george,2016
Military science and military technologies,,,,28 & 29,george,2016
Interdisciplinary studies,,,6.2%,30,george,2016
Parks and recreation,,,,31,george,2016
Philosophy and religious studies,,,1.3%,38,george,2016
Theology and religious vocations,,,,39,george,2016
Physical sciences,,,1.0%,40,george,2016
Science technologies,,,,41,george,2016
Psychology,,,4.6%,42,george,2016
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,george,2016
Public administration and social services,,,,44,george,2016
Social sciences,,,37.6%,45,george,2016
Construction trades,,,,46,george,2016
Mechanic and repair technologies,,,,47,george,2016
Precision production,,,,48,george,2016
Transportation and materials moving,,,,49,george,2016
Visual and performing arts,,,1.8%,50,george,2016
Health professions and related programs,100.00%,,6.2%,51,george,2016
Business/marketing,,,18.4%,52,george,2016
History,,,1.4%,54,george,2016
Other,,,,,george,2016
TOTAL (should = 100%),100.00%,0.00%,100.00%,,george,2016
Agriculture,,,,1,caltech,2016
Natural resources and conservation,,,,3,caltech,2016
Architecture,,,,4,caltech,2016
"Area, ethnic, and gender studies",,,,5,caltech,2016
Communication/journalism,,,,9,caltech,2016
Communication technologies,,,,10,caltech,2016
Computer and information sciences,,,23%,11,caltech,2016
Personal and culinary services,,,,12,caltech,2016
Education,,,,13,caltech,2016
Engineering,,,37%,14,caltech,2016
Engineering technologies,,,,15,caltech,2016
"Foreign languages, literatures, and linguistics",,,,16,caltech,2016
Family and consumer sciences,,,,19,caltech,2016
Law/legal studies,,,,22,caltech,2016
English,,,0.40%,23,caltech,2016
Liberal arts/general studies,,,,24,caltech,2016
Library science,,,,25,caltech,2016
Biological/life sciences,,,7%,26,caltech,2016
Mathematics and statistics,,,14%,27,caltech,2016
Military science and military technologies,,,,28 & 29,caltech,2016
Interdisciplinary studies,,,,30,caltech,2016
Parks and recreation,,,,31,caltech,2016
Philosophy and religious studies,,,,38,caltech,2016
Theology and religious vocations,,,,39,caltech,2016
Physical sciences,,,18%,40,caltech,2016
Science technologies,,,,41,caltech,2016
Psychology,,,,42,caltech,2016
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,caltech,2016
Public administration and social services,,,,44,caltech,2016
Social sciences,,,0.40%,45,caltech,2016
Construction trades,,,,46,caltech,2016
Mechanic and repair technologies,,,,47,caltech,2016
Precision production,,,,48,caltech,2016
Transportation and materials moving,,,,49,caltech,2016
Visual and performing arts,,,,50,caltech,2016
Health professions and related programs,,,,51,caltech,2016
Business/marketing,,,0.40%,52,caltech,2016
History,,,0.40%,54,caltech,2016
Other,,,,,caltech,2016
TOTAL (should = 100%),0.00%,0.00%,100.00%,,caltech,2016
Agriculture,,,,1,dartmouth,2016
Natural resources and conservation,,,3%,3,dartmouth,2016
Architecture,,,,4,dartmouth,2016
"Area, ethnic, and gender studies",,,4%,5,dartmouth,2016
Communication/journalism,,,,9,dartmouth,2016
Communication technologies,,,,10,dartmouth,2016
Computer and information sciences,,,5%,11,dartmouth,2016
Personal and culinary services,,,,12,dartmouth,2016
Education,,,,13,dartmouth,2016
Engineering,,,8%,14,dartmouth,2016
Engineering technologies,,,,15,dartmouth,2016
"Foreign languages, literatures, and linguistics",,,4%,16,dartmouth,2016
Family and consumer sciences,,,,19,dartmouth,2016
Law/legal studies,,,,22,dartmouth,2016
English,,,4%,23,dartmouth,2016
Liberal arts/general studies,,,0%,24,dartmouth,2016
Library science,,,,25,dartmouth,2016
Biological/life sciences,,,10%,26,dartmouth,2016
Mathematics and statistics,,,4%,27,dartmouth,2016
Military science and military technologies,,,,28 & 29,dartmouth,2016
Interdisciplinary studies,,,2%,30,dartmouth,2016
Parks and recreation,,,,31,dartmouth,2016
Philosophy and religious studies,,,2%,38,dartmouth,2016
Theology and religious vocations,,,,39,dartmouth,2016
Physical sciences,,,4%,40,dartmouth,2016
Science technologies,,,,41,dartmouth,2016
Psychology,,,6%,42,dartmouth,2016
"Homeland Security, law enforcement, firefighting, and
protective services",,,,43,dartmouth,2016
Public administration and social services,,,,44,dartmouth,2016
Social sciences,,,35%,45,dartmouth,2016
Construction trades,,,,46,dartmouth,2016
Mechanic and repair technologies,,,,47,dartmouth,2016
Precision production,,,,48,dartmouth,2016
Transportation and materials moving,,,,49,dartmouth,2016
Visual and performing arts,,,4%,50,dartmouth,2016
Health professions and related programs,,,,51,dartmouth,2016
Business/marketing,,,,52,dartmouth,2016
History,,,6%,54,dartmouth,2016
Other,,,,,dartmouth,2016
TOTAL (should = 100%),0.00%,0.00%,100.00%,,dartmouth,2016
Agriculture,1%,,3%,1,wsu,2016
Natural resources and conservation,,,1%,3,wsu,2016
Architecture,,,1%,4,wsu,2016
"Area, ethnic, and gender studies",,,0%,5,wsu,2016
Communication/journalism,,,7%,9,wsu,2016
Communication technologies,,,,10,wsu,2016
Computer and information sciences,1%,,2%,11,wsu,2016
Personal and culinary services,,,,12,wsu,2016
Education,41%,,3%,13,wsu,2016
Engineering,0%,,11%,14,wsu,2016
Engineering technologies,6%,,,15,wsu,2016
"Foreign languages, literatures, and linguistics",,,1%,16,wsu,2016
Family and consumer sciences,24%,,4%,19,wsu,2016
Law/legal studies,,,,22,wsu,2016
English,3%,,2%,23,wsu,2016
Liberal arts/general studies,0%,,2%,24,wsu,2016
Library science,,,,25,wsu,2016
Biological/life sciences,2%,,6%,26,wsu,2016
Mathematics and statistics,,,1%,27,wsu,2016
Military science and military technologies,,,,28 & 29,wsu,2016
Interdisciplinary studies,4%,,1%,30,wsu,2016
Parks and recreation,,,3%,31,wsu,2016
Philosophy and religious studies,,,0%,38,wsu,2016
Theology and religious vocations,,,,39,wsu,2016
Physical sciences,,,2%,40,wsu,2016
Science technologies,,,,41,wsu,2016
Psychology,,,7%,42,wsu,2016
"Homeland Security, law enforcement, firefighting, and
protective services",,,3%,43,wsu,2016
Public administration and social services,,,0%,44,wsu,2016
Social sciences,,,12%,45,wsu,2016
Construction trades,,,,46,wsu,2016
Mechanic and repair technologies,,,,47,wsu,2016
Precision production,,,,48,wsu,2016
Transportation and materials moving,,,,49,wsu,2016
Visual and performing arts,,,1%,50,wsu,2016
Health professions and related programs,1%,,8%,51,wsu,2016
Business/marketing,16%,,20%,52,wsu,2016
History,,,1%,54,wsu,2016
Other,,,,,wsu,2016
TOTAL (should = 100%),100.00%,0.00%,100.00%,,wsu,2016
"Biology, General",,,21%,26.01,ucsd,2016
Economics,,,13%,45.06,ucsd,2016
Computer Engineering,,,9%,14.09,ucsd,2016
"Psychology, General",,,6%,42.01,ucsd,2016
Communication and Media Studies,,,5%,9.01,ucsd,2016
Other,,,46%,,ucsd,2016
TOTAL (should = 100%),,,100%,,ucsd,2016
Agriculture,,,0,1,colgate,2016
Natural resources and conservation,,,4.31%,3,colgate,2016
Architecture,,,0,4,colgate,2016
"Area, ethnic, and gender studies",,,3.95%,5,colgate,2016
Communication/journalism,,,0,9,colgate,2016
Communication technologies,,,0,10,colgate,2016
Computer and information sciences,,,3.71%,11,colgate,2016
Personal and culinary services,,,0,12,colgate,2016
Education,,,1.32%,13,colgate,2016
Engineering,,,0,14,colgate,2016
Engineering technologies,,,0,15,colgate,2016
"Foreign languages, literatures, and linguistics",,,5.63%,16,colgate,2016
