Category,Diploma/Certificates,Associate,CIP Code,college,year,Bachelor’s
Agriculture,,,1,george,2022,
Natural resources and conservation,,,3,george,2022,
Architecture,,,4,george,2022,
"Area, ethnic, and gender studies",,,5,george,2022,2.07
Communication/journalism,,,9,george,2022,
Communication technologies,,,10,george,2022,
Computer and information sciences,8.33,,11,george,2022,1.68
Personal and culinary services,,,12,george,2022,
Education,,,13,george,2022,
Engineering,,,14,george,2022,
Engineering technologies,,,15,george,2022,
"Foreign languages, literatures, and linguistics",,,16,george,2022,2.35
Family and consumer sciences,,,19,george,2022,
Law/legal studies,,,22,george,2022,
English,,,23,george,2022,3.53
Liberal arts/general studies,,,24,george,2022,1.01
Library science,,,25,george,2022,
Biological/life sciences,,,26,george,2022,6.94
Mathematics and statistics,,,27,george,2022,2.29
Military science and military technologies,,,28 and 29,george,2022,
Interdisciplinary studies,,,30,george,2022,7.72
Parks and recreation,,,31,george,2022,
Philosophy and religious studies,,,38,george,2022,0.95
Theology and religious vocations,,,39,george,2022,
Physical sciences,,,40,george,2022,0.9
Science technologies,,,41,george,2022,
Psychology,,,42,george,2022,5.09
"Homeland Security, law enforcement, firefighting,
and protective services",,,43,george,2022,
Public administration and social services,,,44,george,2022,
Social sciences,,,45,george,2022,38.44
Construction trades,,,46,george,2022,
Mechanic and repair technologies,,,47,george,2022,
Precision production,,,48,george,2022,
Transportation and materials moving,,,49,george,2022,
Visual and performing arts,,,50,george,2022,0.56
Health professions and related programs,91.67,,51,george,2022,4.42
Business/marketing,,,52,george,2022,20.09
History,,,54,george,2022,1.96
Other,,,,george,2022,
Agriculture,,,01,caltech,2022,
Naturalresourcesandconservation,,,03,caltech,2022,
Architecture,,,04,caltech,2022,
"Area,ethnic,andgenderstudies",,,05,caltech,2022,
Communication/journalism,,,09,caltech,2022,
Communication technologies,,,10,caltech,2022,
Computerandinformationsciences,,,11,caltech,2022,38.1
Personalandculinaryservices,,,12,caltech,2022,
Education,,,13,caltech,2022,
Engineering,,,14,caltech,2022,
Engineeringtechnologies,,,15,caltech,2022,29.8
"Foreignlanguages,literatures,andlinguistics",,,16,caltech,2022,
Familyandconsumersciences,,,19,caltech,2022,
Law/legalstudies,,,22,caltech,2022,
English,,,23,caltech,2022,
Liberalarts/generalstudies,,,24,caltech,2022,
