Category,Diploma/Certificates,Associate,Bachelor’s,CIP Code,college,year
Agriculture,,,,01,colgate,2023
Natural resources and conservation,,,0.0407,03,colgate,2023
Architecture,,,,04,colgate,2023
"Area, ethnic, and gender studies",,,0.0193,05,colgate,2023
Communication/journalism,,,,09,colgate,2023
Communication technologies,,,,10,colgate,2023
Computer and information sciences,,,0.0665,11,colgate,2023
Personal and culinary services,,,,12,colgate,2023
Education,,,0.0214,13,colgate,2023
Engineering,,,,14,colgate,2023
Engineering technologies,,,,15,colgate,2023
"Foreign languages, literatures, and linguistics",,,0.0289,16,colgate,2023
Family and consumer sciences,,,,19,colgate,2023
Law/legal studies,,,,22,colgate,2023
English,,,0.0418,23,colgate,2023
Liberal arts/general studies,,,0.0011,24,colgate,2023
Library science,,,,25,colgate,2023
Biological/life sciences,,,0.1308,26,colgate,2023
Mathematics and statistics,,,0.0204,27,colgate,2023
Military science and military technologies,,,,28 & 29,colgate,2023
Interdisciplinary studies,,,0.0364,30,colgate,2023
Parks and recreation,,,,31,colgate,2023
Philosophy and religious studies,,,0.0439,38,colgate,2023
Theology and religious vocations,,,,39,colgate,2023
Physical sciences,,,0.0504,40,colgate,2023
Science technologies,,,,41,colgate,2023
Psychology,,,0.0665,42,colgate,2023
"Homeland Security, law enforcement, firefighting,",,,,43,colgate,2023
Public administration and social services,,,,44,colgate,2023
Social sciences,,,0.343,45,colgate,2023
Construction trades,,,,46,colgate,2023
Mechanic and repair technologies,,,,47,colgate,2023
Precision production,,,,48,colgate,2023
Transportation and materials moving,,,,49,colgate,2023
Visual and performing arts,,,0.0472,50,colgate,2023
Health professions and related programs,,,,51,colgate,2023
Business/marketing,,,,52,colgate,2023
History,,,0.0418,54,colgate,2023
Other,,,,,colgate,2023
TOTAL (should = 100%),0.00%,0.00%,100.01%,,colgate,2023
Agriculture,,,,1,umich,2023
Natural resources and conservation,,,1%,3,umich,2023
Architecture,,,1%,4,umich,2023
"Area, ethnic, and gender studies",,,1%,5,umich,2023
Communication/journalism,,,2%,9,umich,2023
Communication technologies,,,,10,umich,2023
Computer and information sciences,,,16%,11,umich,2023
Personal and culinary services,,,,12,umich,2023
Education,,,1%,13,umich,2023
Engineering,,,14%,14,umich,2023
Engineering technologies,,,0%,15,umich,2023
"Foreign languages, literatures, and linguistics",,,1%,16,umich,2023
Family and consumer sciences,,,,19,umich,2023
Law/legal studies,,,,22,umich,2023
English,,,1%,23,umich,2023
Liberal arts/general studies,,,1%,24,umich,2023
Library science,,,,25,umich,2023
Biological/life sciences,,,9%,26,umich,2023
Mathematics and statistics,,,3%,27,umich,2023
Military science and military technologies,,,,28 & 29,umich,2023
Interdisciplinary studies,,,5%,30,umich,2023
Parks and recreation,,,3%,31,umich,2023
Philosophy and religious studies,,,0%,38,umich,2023
Theology and religious vocations,,,,39,umich,2023
Physical sciences,,,2%,40,umich,2023
Science technologies,,,,41,umich,2023
Psychology,,,8%,42,umich,2023
"Homeland Security, law enforcement, firefighting, and protective services",,,,43,umich,2023
Public administration and social services,,,1%,44,umich,2023
Social sciences,,,11%,45,umich,2023
Construction trades,,,,46,umich,2023
Mechanic and repair technologies,,,,47,umich,2023
Precision production,,,,48,umich,2023
Transportation and materials moving,,,,49,umich,2023
Visual and performing arts,,,5%,50,umich,2023
Health professions and related programs,,,4%,51,umich,2023
Business/marketing,,,8%,52,umich,2023
History,,,1%,54,umich,2023
Other,,,,-,umich,2023
TOTAL,,,100%,,umich,2023
Agriculture,,,,1,ucsd,2023
Natural resources and conservation,,,1.0,3,ucsd,2023
Architecture,,,1.0,4,ucsd,2023
"Area, ethnic, and gender studies",,,0.3,5,ucsd,2023
Communication/journalism,,,2.6,9,ucsd,2023
Communication technologies,,,,10,ucsd,2023
Computer and information sciences,,,8.4,11,ucsd,2023
Personal and culinary services,,,,12,ucsd,2023
Education,,,0.5,13,ucsd,2023
Engineering,,,10.9,14,ucsd,2023
Engineering technologies,,,,15,ucsd,2023
