year,college,CIP Code,Category,Bachelor’s,Associate,Diploma/Certificates
2014,asu,1,Agriculture,,,
2014,asu,3,Natural resources and conservation,2.6%,,
2014,asu,4,Architecture,0.3%,,
2014,asu,5,"Area, ethnic, and gender studies",0.1%,,
2014,asu,9,Communication/journalism,6.2%,,
2014,asu,10,Communication technologies,,,
2014,asu,11,Computer and information sciences,1.0%,,
2014,asu,12,Personal and culinary services,,,
2014,asu,13,Education,13.8%,,
2014,asu,14,Engineering,,,
2014,asu,15,Engineering technologies,1.9%,,
2014,asu,16,"Foreign languages, literatures, and linguistics",1.2%,,
2014,asu,19,Family and consumer sciences,1.1%,,
2014,asu,22,Law/legal studies,,,
2014,asu,23,English,1.8%,,
2014,asu,24,Liberal arts/general studies,0.8%,,
2014,asu,25,Library science,,,
2014,asu,26,Biological/life sciences,3.7%,,
2014,asu,27,Mathematics and statistics,0.6%,,
2014,asu,28 & 29,Military science and military technologies,,,
2014,asu,30,Interdisciplinary studies,0.9%,,
2014,asu,31,Parks and recreation,6.7%,,
2014,asu,38,Philosophy and religious studies,0.7%,,
2014,asu,39,Theology and religious vocations,,,
2014,asu,40,Physical sciences,2.5%,,
2014,asu,41,Science technologies,,,
2014,asu,42,Psychology,7.2%,,
2014,asu,43,"Homeland Security, law enforcement, firefighting, and
protective services",4.0%,,
2014,asu,44,Public administration and social services,1.8%,,
2014,asu,45,Social sciences,6.9%,,
2014,asu,46,Construction trades,,,
2014,asu,47,Mechanic and repair technologies,,,
2014,asu,48,Precision production,,,
2014,asu,49,Transportation and materials moving,,,
2014,asu,50,Visual and performing arts,6.1%,,
2014,asu,51,Health professions and related programs,8.8%,,
2014,asu,52,Business/marketing,17.6%,,
2014,asu,54,History,1.8%,,
2014,asu,,Other,,,
2014,asu,,TOTAL (should = 100%),100.02%,0.00%,0.00%
2014,caltech,,Agriculture,,,
2014,caltech,,Natural resources and conservation,,,
2014,caltech,,Architecture,,,
2014,caltech,,"Area, ethnic, and gender studies",,,
2014,caltech,,Communication/journalism,,,
2014,caltech,,Communication technologies,,,
2014,caltech,,Computer and information sciences,18%,,
2014,caltech,,Personal and culinary services,,,
2014,caltech,,Education,,,
2014,caltech,,Engineering,36%,,
2014,caltech,,Engineering technologies,,,
2014,caltech,,"Foreign languages, literatures, and linguistics",,,
2014,caltech,,Family and consumer sciences,,,
2014,caltech,,Law/legal studies,,,
2014,caltech,,English,,,
2014,caltech,,Liberal arts/general studies,,,
2014,caltech,,Library science,,,
2014,caltech,,Biological/life sciences,13%,,
2014,caltech,,Mathematics and statistics,11%,,
2014,caltech,,Military science and military technologies,,,
2014,caltech,,Interdisciplinary studies,,,
2014,caltech,,Parks and recreation,,,
2014,caltech,,Philosophy and religious studies,,,
2014,caltech,,Theology and religious vocations,,,
2014,caltech,,Physical sciences,22%,,
2014,caltech,,Science technologies,,,
2014,caltech,,Psychology,,,
2014,caltech,,"Homeland Security, law enforcement, firefighting,
and protective services",,,
2014,caltech,,Public administration and social services,,,
2014,caltech,,Social sciences,,,
2014,caltech,,Construction trades,,,
2014,caltech,,Mechanic and repair technologies,,,
2014,caltech,,Precision production,,,
2014,caltech,,Transportation and materials moving,,,
2014,caltech,,Visual and performing arts,,,
2014,caltech,,Health professions and related programs,,,
2014,caltech,,Business/marketing,1%,,
2014,caltech,,History,,,
2014,caltech,,Other,,,
2014,caltech,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2014,colgate,1,Agriculture,0.00%,0,0
2014,colgate,3,Natural resources and conservation,3.16%,0,0
2014,colgate,4,Architecture,0.00%,0,0
2014,colgate,5,"Area, ethnic, and gender studies",2.94%,0,0
2014,colgate,9,Communication/journalism,0.00%,0,0
2014,colgate,10,Communication technologies,0.00%,0,0
2014,colgate,11,Computer and information sciences,1.74%,0,0
2014,colgate,12,Personal and culinary services,0.00%,0,0
2014,colgate,13,Education,1.53%,0,0
2014,colgate,14,Engineering,0.00%,0,0
2014,colgate,15,Engineering technologies,0.00%,0,0
2014,colgate,16,"Foreign languages, literatures, and linguistics",6.98%,0,0
2014,colgate,19,Family and consumer sciences,0.00%,0,0
2014,colgate,22,Law/legal studies,0.00%,0,0
2014,colgate,23,English,6.43%,0,0
2014,colgate,24,Liberal arts/general studies,0.00%,0,0
2014,colgate,25,Library science,0.00%,0,0
2014,colgate,26,Biological/life sciences,9.71%,0,0
2014,colgate,27,Mathematics and statistics,2.40%,0,0
2014,colgate,28 & 29,Military science and military technologies,0.00%,0,0
2014,colgate,30,Interdisciplinary studies,3.71%,0,0
2014,colgate,31,Parks and recreation,0.00%,0,0
2014,colgate,38,Philosophy and religious studies,5.02%,0,0
2014,colgate,39,Theology and religious vocations,0.00%,0,0
2014,colgate,40,Physical sciences,5.02%,0,0
2014,colgate,41,Science technologies,0.00%,0,0
2014,colgate,42,Psychology,7.09%,0,0
2014,colgate,43,"Homeland Security, law enforcement, firefighting, and
protective services",0.00%,0,0
2014,colgate,44,Public administration and social services,0.00%,0,0
2014,colgate,45,Social sciences,31.95%,0,0
2014,colgate,46,Construction trades,0.00%,0,0
2014,colgate,47,Mechanic and repair technologies,0.00%,0,0
2014,colgate,48,Precision production,0.00%,0,0
2014,colgate,49,Transportation and materials moving,0.00%,0,0
2014,colgate,50,Visual and performing arts,4.36%,0,0
2014,colgate,51,Health professions and related programs,0.00%,0,0
2014,colgate,52,Business/marketing,0.00%,0,0
2014,colgate,54,History,7.96%,0,0
2014,colgate,,Other,0.00%,0.00%,0.00%
2014,colgate,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2014,dartmouth,1,Agriculture,,,
2014,dartmouth,3,Natural resources and conservation,4%,,
2014,dartmouth,4,Architecture,,,
2014,dartmouth,5,"Area, ethnic, and gender studies",4%,,
2014,dartmouth,9,Communication/journalism,,,
2014,dartmouth,10,Communication technologies,,,
2014,dartmouth,11,Computer and information sciences,4%,,
2014,dartmouth,12,Personal and culinary services,,,
2014,dartmouth,13,Education,,,
2014,dartmouth,14,Engineering,8%,,
2014,dartmouth,15,Engineering technologies,,,
2014,dartmouth,16,"Foreign languages, literatures, and linguistics",4%,,
2014,dartmouth,19,Family and consumer sciences,,,
2014,dartmouth,22,Law/legal studies,,,
2014,dartmouth,23,English,5%,,
2014,dartmouth,24,Liberal arts/general studies,0%,,
2014,dartmouth,25,Library science,,,
2014,dartmouth,26,Biological/life sciences,10%,,
2014,dartmouth,27,Mathematics and statistics,4%,,
2014,dartmouth,28 & 29,Military science and military technologies,,,
2014,dartmouth,30,Interdisciplinary studies,2%,,
2014,dartmouth,31,Parks and recreation,,,
2014,dartmouth,38,Philosophy and religious studies,2%,,
2014,dartmouth,39,Theology and religious vocations,,,
2014,dartmouth,40,Physical sciences,4%,,
2014,dartmouth,41,Science technologies,,,
2014,dartmouth,42,Psychology,6%,,
2014,dartmouth,43,"Homeland Security, law enforcement, firefighting, and
protective services",,,
2014,dartmouth,44,Public administration and social services,,,
2014,dartmouth,45,Social sciences,33%,,
2014,dartmouth,46,Construction trades,,,
2014,dartmouth,47,Mechanic and repair technologies,,,
2014,dartmouth,48,Precision production,,,
2014,dartmouth,49,Transportation and materials moving,,,
2014,dartmouth,50,Visual and performing arts,5%,,
2014,dartmouth,51,Health professions and related programs,,,
2014,dartmouth,52,Business/marketing,,,
2014,dartmouth,54,History,6%,,
2014,dartmouth,,Other,,,
2014,dartmouth,,TOTAL (should = 100%),100.00%,0.00%,0.00%
2014,george,1,Agriculture,,,
2014,george,3,Natural resources and conservation,,,
2014,george,4,Architecture,,,
2014,george,5,"Area, ethnic, and gender studies",1.27%,,
2014,george,9,Communication/journalism,0.00%,,
2014,george,10,Communication technologies,0.00%,,
2014,george,11,Computer and information sciences,0.73%,,
2014,george,12,Personal and culinary services,0.00%,,
2014,george,13,Education,0.00%,,
2014,george,14,Engineering,0.00%,,
2014,george,15,Engineering technologies,0.00%,,
2014,george,16,"Foreign languages, literatures, and linguistics",5.27%,,
2014,george,19,Family and consumer sciences,0.00%,,
2014,george,22,Law/legal studies,0.00%,,
2014,george,23,English,5.59%,,
2014,george,24,Liberal arts/general studies,1.59%,,
2014,george,25,Library science,0.00%,,
