occupation,mapped_major
All Occupations,Other
Management occupations,Business/marketing
Chief executives,Business/marketing
General and operations managers,Business/marketing
Legislators,Public administration and social services
Advertising and promotions managers,Business/marketing
Marketing managers,Business/marketing
Sales managers,Business/marketing
Public relations managers,Communication/journalism
Administrative services managers,Business/marketing
Computer and information systems managers,Computer and information sciences
Financial managers,Business/marketing
Compensation and benefits managers,Business/marketing
"Human resources managers, all other",Business/marketing
Industrial production managers,Engineering
Purchasing managers,Business/marketing
"Transportation, storage, and distribution managers",Business/marketing
Construction managers,Construction trades
"Education administrators, preschool and child care center/program",Education
"Education administrators, elementary and secondary school",Education
"Education administrators, all other",Education
Engineering managers,Engineering
Food service managers,Family and consumer sciences
Medical and health services managers,Health professions and related programs
Natural sciences managers,Natural resources and conservation
"Property, real estate, and community association managers",Business/marketing
Social and community service managers,Public administration and social services
"Managers, all other",Business/marketing
Business and financial operations occupations,Business/marketing
"Purchasing agents, except wholesale, retail, and farm products",Business/marketing
"Claims adjusters, examiners, and investigators",Business/marketing
"Compliance officers, except agriculture, construction, health and safety, and transportation",Business/marketing
Cost estimators,Engineering
"Employment, recruitment, and placement specialists",Business/marketing
"Compensation, benefits, and job analysis specialists",Business/marketing
Training and development specialists,Education
"Human resources, training, and labor relations specialists, all other",Business/marketing
Logisticians,Business/marketing
Management analysts,Business/marketing
Meeting and convention planners,Other
"Business operations specialists, all other",Business/marketing
Accountants and auditors,Business/marketing
Appraisers and assessors of real estate,Other
Credit analysts,Business/marketing
Financial analysts,Business/marketing
Personal financial advisors,Business/marketing
Insurance underwriters,Business/marketing
Loan officers,Business/marketing
Tax preparers,Business/marketing
Computer and mathematical occupations,Computer and information sciences
"Computer and information scientists, research",Computer and information sciences
Computer programmers,Computer and information sciences
"Computer software engineers, applications",Computer and information sciences
"Computer software engineers, systems software",Computer and information sciences
Computer support specialists,Computer and information sciences
Computer systems analysts,Computer and information sciences
Database administrators,Computer and information sciences
Network and computer systems administrators,Computer and information sciences
Network systems and data communications analysts,Computer and information sciences
"Computer specialists, all other",Computer and information sciences
Operations research analysts,Mathematics and statistics
Architecture and engineering occupations,Engineering
"Architects, except landscape and naval",Architecture
Landscape architects,Other
Surveyors,Engineering
Biomedical engineers,Biological/life sciences
Chemical engineers,Engineering
Civil engineers,Engineering
Computer hardware engineers,Computer and information sciences
Electrical engineers,Engineering
"Electronics engineers, except computer",Engineering
Environmental engineers,Engineering
"Health and safety engineers, except mining safety engineers and inspectors",Engineering
Industrial engineers,Engineering
Mechanical engineers,Engineering
"Engineers, all other",Engineering
Architectural and civil drafters,Engineering
Electrical and electronics drafters,Engineering
Mechanical drafters,Engineering
Civil engineering technicians,Engineering technologies
Electrical and electronic engineering technicians,Engineering technologies
Environmental engineering technicians,Natural resources and conservation
Industrial engineering technicians,Engineering technologies
Mechanical engineering technicians,Engineering technologies
"Engineering technicians, except drafters, all other",Engineering technologies
Surveying and mapping technicians,Engineering technologies
Zoologists and wildlife biologists,Biological/life sciences
Chemists,Physical sciences
Materials scientists,Physical sciences
"Environmental scientists and specialists, including health",Natural resources and conservation
"Physical scientists, all other",Physical sciences
Market research analysts,Business/marketing
"Clinical, counseling, and school psychologists",Psychology
"Psychologists, all other",Psychology
Urban and regional planners,Other
Chemical technicians,Physical sciences
"Environmental science and protection technicians, including health",Natural resources and conservation
Community and social services occupations,Public administration and social services
"Educational, vocational, and school counselors",Education
Mental health counselors,Psychology
Rehabilitation counselors,Public administration and social services
"Child, family, and school social workers",Social sciences
Medical and public health social workers,Public administration and social services
Mental health and substance abuse social workers,Social sciences
"Social workers, all other",Public administration and social services
Health educators,Health professions and related programs
Social and human service assistants,Public administration and social services
"Community and social service specialists, all other",Public administration and social services
Clergy,Theology and religious vocations
Legal occupations,Law/legal studies
Lawyers,Law/legal studies
Paralegals and legal assistants,Law/legal studies
"Education, training, and library occupations",Education
"Business teachers, postsecondary",Education
"Mathematical science teachers, postsecondary",Mathematics and statistics
"Biological science teachers, postsecondary",Biological/life sciences
"Nursing instructors and teachers, postsecondary",Health professions and related programs
